Time(ms),Temperature(C),Pressure(Pa),ABS Altitude(m),Rel Altitude(m)
29731,24.80,101339.00,-1.17,0.83
29827,24.80,101344.00,-1.58,0.41
29926,24.80,101349.00,-2.00,0.00
30020,24.80,101346.00,-1.75,0.25
30119,24.80,101345.00,-1.67,0.33
30215,24.80,101342.00,-1.42,0.58
30314,24.80,101337.00,-1.00,1.00
30408,24.80,101342.00,-1.42,0.58
30509,24.80,101343.00,-1.50,0.50
30603,24.80,101346.00,-1.75,0.25
30701,24.80,101341.00,-1.33,0.66
30795,24.80,101348.00,-1.92,0.08
30894,24.80,101347.00,-1.83,0.17
30988,24.80,101338.00,-1.08,0.91
31086,24.80,101339.00,-1.17,0.83
31180,24.80,101340.00,-1.25,0.75
31279,24.80,101329.00,-0.33,1.66
31374,24.80,101345.00,-1.67,0.33
31472,24.80,101349.00,-2.00,0.00
31566,24.80,101343.00,-1.50,0.50
31666,24.80,101339.00,-1.17,0.83
31760,24.80,101342.00,-1.42,0.58
31858,24.80,101344.00,-1.58,0.41
31952,24.80,101342.00,-1.42,0.58
32056,24.80,101345.00,-1.67,0.33
32155,24.80,101340.00,-1.25,0.75
32249,24.80,101343.00,-1.50,0.50
32349,24.80,101330.00,-0.42,1.58
32444,24.80,101339.00,-1.17,0.83
32543,24.80,101338.00,-1.08,0.91
32637,24.80,101341.00,-1.33,0.66
32738,24.80,101341.00,-1.33,0.66
32832,24.80,101340.00,-1.25,0.75
32927,24.80,101339.00,-1.17,0.83
33027,24.80,101335.00,-0.83,1.16
33126,24.80,101335.00,-0.83,1.16
33221,24.80,101338.00,-1.08,0.91
33320,24.80,101334.00,-0.75,1.25
33415,24.80,101331.00,-0.50,1.50
33510,24.80,101338.00,-1.08,0.91
33604,24.80,101338.00,-1.08,0.91
33699,24.80,101337.00,-1.00,1.00
33794,24.80,101340.00,-1.25,0.75
33888,24.80,101343.00,-1.50,0.50
33983,24.80,101334.00,-0.75,1.25
34077,24.80,101332.00,-0.58,1.41
34172,24.80,101337.00,-1.00,1.00
34267,24.80,101328.00,-0.25,1.75
34360,24.80,101323.00,0.17,2.17
34459,24.80,101338.00,-1.08,0.91
34553,24.80,101332.00,-0.58,1.41
34648,24.80,101331.00,-0.50,1.50
34743,24.80,101328.00,-0.25,1.75
34841,24.80,101335.00,-0.83,1.16
34936,24.80,101339.00,-1.17,0.83
35031,24.80,101333.00,-0.67,1.33
35125,24.80,101319.00,0.50,2.50
35219,24.80,101330.00,-0.42,1.58
35318,24.80,101327.00,-0.17,1.83
35414,24.80,101327.00,-0.17,1.83
35507,24.80,101324.00,0.08,2.08
35606,24.80,101328.00,-0.25,1.75
35701,24.80,101326.00,-0.08,1.91
35795,24.80,101328.00,-0.25,1.75
35891,24.80,101329.00,-0.33,1.66
35984,24.80,101323.00,0.17,2.17
36078,24.80,101326.00,-0.08,1.91
36173,24.80,101329.00,-0.33,1.66
36267,24.80,101321.00,0.33,2.33
36371,24.80,101328.00,-0.25,1.75
36464,24.80,101323.00,0.17,2.17
36557,24.80,101324.00,0.08,2.08
36652,24.80,101323.00,0.17,2.17
36746,24.80,101326.00,-0.08,1.91
36840,24.80,101324.00,0.08,2.08
36934,24.80,101327.00,-0.17,1.83
37027,24.80,101325.00,0.00,2.00
37122,24.80,101320.00,0.42,2.42
37215,24.80,101325.00,0.00,2.00
37309,24.80,101319.00,0.50,2.50
37402,24.80,101320.00,0.42,2.42
37495,24.80,101309.00,1.34,3.33
37590,24.80,101312.00,1.08,3.08
37683,24.80,101309.00,1.34,3.33
37777,24.80,101316.00,0.75,2.75
37870,24.80,101317.00,0.67,2.67
37963,24.80,101316.00,0.75,2.75
38057,24.80,101313.00,1.00,3.00
38151,24.80,101318.00,0.59,2.58
38245,24.80,101319.00,0.50,2.50
38338,24.80,101323.00,0.17,2.17
38432,24.80,101310.00,1.25,3.25
38525,24.80,101310.00,1.25,3.25
38619,24.80,101316.00,0.75,2.75
38713,24.80,101321.00,0.33,2.33
38806,24.80,101324.00,0.08,2.08
38900,24.80,101315.00,0.83,2.83
38993,24.80,101325.00,0.00,2.00
39087,24.80,101319.00,0.50,2.50
39181,24.80,101316.00,0.75,2.75
39274,24.80,101308.00,1.42,3.41
39368,24.80,101307.00,1.50,3.50
39461,24.80,101308.00,1.42,3.41
39555,24.80,101304.00,1.75,3.75
39649,24.80,101304.00,1.75,3.75
39742,24.80,101303.00,1.83,3.83
39836,24.80,101306.00,1.59,3.58
39929,24.80,101304.00,1.75,3.75
40023,24.80,101303.00,1.83,3.83
40117,24.80,101305.00,1.67,3.67
40210,24.80,101302.00,1.92,3.92
40304,24.80,101304.00,1.75,3.75
40397,24.80,101303.00,1.83,3.83
40491,24.80,101305.00,1.67,3.67
40585,24.80,101304.00,1.75,3.75
40678,24.90,101303.00,1.83,3.83
40772,24.80,101305.00,1.67,3.67
40865,24.80,101301.00,2.00,4.00
40958,24.80,101298.00,2.25,4.25
41053,24.80,101310.00,1.25,3.25
41146,24.80,101300.00,2.08,4.08
41240,24.80,101298.00,2.25,4.25
41333,24.80,101303.00,1.83,3.83
41427,24.80,101303.00,1.83,3.83
41521,24.80,101303.00,1.83,3.83
41614,24.90,101300.00,2.08,4.08
41708,24.90,101301.00,2.00,4.00
41801,24.80,101298.00,2.25,4.25
41895,24.80,101295.00,2.50,4.50
41989,24.90,101300.00,2.08,4.08
42082,24.90,101299.00,2.17,4.16
42176,24.90,101302.00,1.92,3.92
42269,24.90,101301.00,2.00,4.00
42363,24.90,101298.00,2.25,4.25
42457,24.90,101293.00,2.67,4.67
42550,24.90,101291.00,2.83,4.83
42644,24.90,101296.00,2.42,4.41
42737,24.90,101293.00,2.67,4.67
42831,24.90,101291.00,2.83,4.83
42925,24.90,101289.00,3.00,5.00
43018,24.90,101290.00,2.92,4.91
43112,24.80,101288.00,3.08,5.08
43205,24.80,101292.00,2.75,4.75
43299,24.90,101295.00,2.50,4.50
43393,24.90,101294.00,2.58,4.58
43486,24.90,101299.00,2.17,4.16
43580,24.90,101296.00,2.42,4.41
43673,24.90,101295.00,2.50,4.50
43767,24.90,101297.00,2.34,4.33
43860,24.90,101306.00,1.59,3.58
43961,24.90,101306.00,1.59,3.58
44054,24.90,101300.00,2.08,4.08
44148,24.90,101298.00,2.25,4.25
44247,24.90,101294.00,2.58,4.58
44341,24.90,101301.00,2.00,4.00
44434,24.90,101307.00,1.50,3.50
44533,24.90,101304.00,1.75,3.75
44626,24.90,101303.00,1.83,3.83
44721,24.90,101298.00,2.25,4.25
44821,24.90,101299.00,2.17,4.16
44914,24.90,101305.00,1.67,3.67
45008,24.90,101306.00,1.59,3.58
45113,24.90,101303.00,1.83,3.83
45207,24.90,101307.00,1.50,3.50
45300,24.90,101310.00,1.25,3.25
45394,24.90,101306.00,1.59,3.58
45488,24.90,101306.00,1.59,3.58
45581,24.90,101307.00,1.50,3.50
45675,24.90,101308.00,1.42,3.41
45768,24.90,101303.00,1.83,3.83
45862,24.90,101304.00,1.75,3.75
45956,24.90,101304.00,1.75,3.75
46049,24.90,101312.00,1.08,3.08
46143,24.90,101313.00,1.00,3.00
46236,24.90,101318.00,0.59,2.58
46330,24.90,101306.00,1.59,3.58
46424,24.90,101311.00,1.17,3.17
46517,24.90,101309.00,1.34,3.33
46611,24.90,101308.00,1.42,3.41
46704,24.90,101308.00,1.42,3.41
46798,24.90,101315.00,0.83,2.83
46892,24.90,101311.00,1.17,3.17
46985,24.90,101313.00,1.00,3.00
47079,24.90,101312.00,1.08,3.08
47172,24.90,101310.00,1.25,3.25
47266,24.90,101314.00,0.92,2.92
47360,24.90,101311.00,1.17,3.17
47453,24.90,101307.00,1.50,3.50
47547,24.90,101305.00,1.67,3.67
47640,24.90,101307.00,1.50,3.50
47734,24.90,101313.00,1.00,3.00
47827,24.90,101312.00,1.08,3.08
47921,24.90,101311.00,1.17,3.17
48015,24.90,101315.00,0.83,2.83
48108,24.90,101313.00,1.00,3.00
48202,24.90,101307.00,1.50,3.50
48295,24.90,101314.00,0.92,2.92
48390,24.90,101315.00,0.83,2.83
48483,24.90,101317.00,0.67,2.67
48576,24.90,101315.00,0.83,2.83
48670,24.90,101311.00,1.17,3.17
48763,24.90,101310.00,1.25,3.25
48858,24.90,101314.00,0.92,2.92
48951,24.90,101316.00,0.75,2.75
49044,24.90,101321.00,0.33,2.33
49138,24.90,101322.00,0.25,2.25
49232,24.90,101326.00,-0.08,1.91
49328,24.90,101328.00,-0.25,1.75
49421,24.90,101324.00,0.08,2.08
49514,24.90,101323.00,0.17,2.17
49609,24.90,101328.00,-0.25,1.75
49702,24.90,101319.00,0.50,2.50
49797,24.90,101321.00,0.33,2.33
49890,24.90,101322.00,0.25,2.25
49983,24.90,101312.00,1.08,3.08
50077,24.90,101323.00,0.17,2.17
50171,24.90,101328.00,-0.25,1.75
50267,24.90,101329.00,-0.33,1.66
50361,24.90,101333.00,-0.67,1.33
50456,24.90,101331.00,-0.50,1.50
50550,24.90,101330.00,-0.42,1.58
50644,24.90,101330.00,-0.42,1.58
50740,24.90,101335.00,-0.83,1.16
50839,24.90,101330.00,-0.42,1.58
50933,24.90,101330.00,-0.42,1.58
51032,24.90,101331.00,-0.50,1.50
51126,24.90,101332.00,-0.58,1.41
51224,24.90,101338.00,-1.08,0.91
51318,24.90,101337.00,-1.00,1.00
51417,24.90,101339.00,-1.17,0.83
51511,24.90,101330.00,-0.42,1.58
51609,24.90,101331.00,-0.50,1.50
51703,24.90,101331.00,-0.50,1.50
51802,24.90,101327.00,-0.17,1.83
51895,25.00,101324.00,0.08,2.08
51993,24.90,101329.00,-0.33,1.66
52088,24.90,101328.00,-0.25,1.75
52186,24.90,101330.00,-0.42,1.58
52281,24.90,101330.00,-0.42,1.58
52383,25.00,101329.00,-0.33,1.66
52483,24.90,101328.00,-0.25,1.75
52577,24.90,101329.00,-0.33,1.66
52675,24.90,101322.00,0.25,2.25
52770,25.00,101328.00,-0.25,1.75
52870,24.90,101326.00,-0.08,1.91
52965,25.00,101328.00,-0.25,1.75
53064,25.00,101339.00,-1.17,0.83
53158,25.00,101340.00,-1.25,0.75
53258,25.00,101337.00,-1.00,1.00
53353,25.00,101341.00,-1.33,0.66
53452,25.00,101335.00,-0.83,1.16
53547,25.00,101337.00,-1.00,1.00
53646,25.00,101333.00,-0.67,1.33
53741,25.00,101335.00,-0.83,1.16
53835,25.00,101336.00,-0.92,1.08
53929,25.00,101334.00,-0.75,1.25
54028,25.00,101334.00,-0.75,1.25
54123,25.00,101331.00,-0.50,1.50
54222,25.00,101333.00,-0.67,1.33
54318,25.00,101339.00,-1.17,0.83
54412,25.00,101345.00,-1.67,0.33
54506,25.00,101340.00,-1.25,0.75
54601,25.00,101342.00,-1.42,0.58
54695,25.00,101341.00,-1.33,0.66
54794,25.00,101339.00,-1.17,0.83
54889,25.00,101338.00,-1.08,0.91
54987,25.00,101335.00,-0.83,1.16
55081,25.00,101339.00,-1.17,0.83
55180,24.90,101337.00,-1.00,1.00
55275,25.00,101341.00,-1.33,0.66
55374,25.00,101343.00,-1.50,0.50
55470,25.00,101339.00,-1.17,0.83
55569,25.00,101342.00,-1.42,0.58
55668,25.00,101333.00,-0.67,1.33
55763,25.00,101341.00,-1.33,0.66
55858,25.00,101341.00,-1.33,0.66
55953,24.90,101337.00,-1.00,1.00
56047,25.00,101329.00,-0.33,1.66
56141,25.00,101333.00,-0.67,1.33
56237,25.00,101336.00,-0.92,1.08
56331,25.00,101339.00,-1.17,0.83
56426,25.00,101338.00,-1.08,0.91
56520,25.00,101336.00,-0.92,1.08
56614,25.00,101336.00,-0.92,1.08
56719,25.00,101343.00,-1.50,0.50
56813,25.00,101337.00,-1.00,1.00
56908,25.00,101346.00,-1.75,0.25
57007,25.00,101343.00,-1.50,0.50
57101,25.00,101341.00,-1.33,0.66
57199,25.00,101343.00,-1.50,0.50
57294,25.00,101339.00,-1.17,0.83
57393,25.00,101336.00,-0.92,1.08
57487,25.00,101340.00,-1.25,0.75
57582,25.00,101335.00,-0.83,1.16
57676,25.00,101336.00,-0.92,1.08
57772,25.00,101336.00,-0.92,1.08
57866,25.00,101347.00,-1.83,0.17
57961,25.00,101340.00,-1.25,0.75
58055,25.00,101335.00,-0.83,1.16
58149,25.00,101337.00,-1.00,1.00
58245,25.00,101339.00,-1.17,0.83
58339,25.00,101337.00,-1.00,1.00
58434,25.00,101333.00,-0.67,1.33
58528,25.00,101336.00,-0.92,1.08
58622,25.00,101336.00,-0.92,1.08
58718,25.00,101335.00,-0.83,1.16
58812,25.00,101338.00,-1.08,0.91
58907,25.00,101332.00,-0.58,1.41
59001,25.00,101344.00,-1.58,0.41
59097,25.00,101334.00,-0.75,1.25
59191,25.00,101335.00,-0.83,1.16
59285,25.00,101334.00,-0.75,1.25
59380,25.00,101343.00,-1.50,0.50
59474,25.00,101339.00,-1.17,0.83
59570,25.00,101337.00,-1.00,1.00
59664,25.00,101335.00,-0.83,1.16
59759,25.00,101347.00,-1.83,0.17
59853,25.00,101346.00,-1.75,0.25
59948,25.00,101338.00,-1.08,0.91
60043,25.00,101346.00,-1.75,0.25
60137,25.00,101343.00,-1.50,0.50
60232,25.00,101343.00,-1.50,0.50
60326,25.00,101340.00,-1.25,0.75
60422,25.00,101338.00,-1.08,0.91
60516,25.00,101338.00,-1.08,0.91
60610,25.00,101340.00,-1.25,0.75
60705,25.00,101340.00,-1.25,0.75
60800,25.00,101339.00,-1.17,0.83
60895,25.00,101337.00,-1.00,1.00
60989,25.00,101341.00,-1.33,0.66
61083,25.00,101337.00,-1.00,1.00
61178,25.00,101336.00,-0.92,1.08
61273,25.00,101344.00,-1.58,0.41
61368,25.00,101337.00,-1.00,1.00
61462,25.00,101336.00,-0.92,1.08
61557,25.00,101338.00,-1.08,0.91
61651,25.00,101339.00,-1.17,0.83
61746,25.00,101336.00,-0.92,1.08
61841,25.00,101338.00,-1.08,0.91
61935,25.00,101341.00,-1.33,0.66
62030,25.00,101342.00,-1.42,0.58
62125,25.00,101335.00,-0.83,1.16
62220,25.00,101340.00,-1.25,0.75
62314,25.00,101338.00,-1.08,0.91
62408,25.00,101337.00,-1.00,1.00
62503,25.00,101342.00,-1.42,0.58
62598,25.00,101338.00,-1.08,0.91
62693,25.00,101344.00,-1.58,0.41
62787,25.00,101337.00,-1.00,1.00
62881,25.00,101341.00,-1.33,0.66
62977,25.00,101341.00,-1.33,0.66
63071,25.00,101342.00,-1.42,0.58
63166,25.00,101340.00,-1.25,0.75
63260,25.00,101342.00,-1.42,0.58
63355,25.00,101339.00,-1.17,0.83
63450,25.00,101342.00,-1.42,0.58
