Time(ms),Temperature(C),Pressure(Pa),ABS Altitude(m),Rel Altitude(m)
8469,10.00,101664.00,-28.16,1.82
8565,10.00,101661.00,-27.92,2.07
8660,10.00,101658.00,-27.67,2.32
8757,10.00,101659.00,-27.75,2.24
8856,10.00,101667.00,-28.41,1.57
8951,10.00,101664.00,-28.16,1.82
9048,10.00,101656.00,-27.50,2.49
9143,10.00,101669.00,-28.58,1.41
9239,10.00,101664.00,-28.16,1.82
9334,10.00,101662.00,-28.00,1.99
9431,10.00,101667.00,-28.41,1.57
9526,10.00,101665.00,-28.25,1.74
9621,10.00,101670.00,-28.66,1.33
9717,10.00,101661.00,-27.92,2.07
9812,10.00,101670.00,-28.66,1.33
9909,10.10,101668.00,-28.49,1.49
10004,10.00,101654.00,-27.33,2.65
10100,10.00,101669.00,-28.58,1.41
10195,10.00,101667.00,-28.41,1.57
10292,10.10,101663.00,-28.08,1.91
10387,10.10,101670.00,-28.66,1.33
10482,10.10,101668.00,-28.49,1.49
10578,10.00,101656.00,-27.50,2.49
10674,10.00,101652.00,-27.17,2.82
10770,10.00,101656.00,-27.50,2.49
10865,10.00,101648.00,-26.84,3.15
10961,10.00,101659.00,-27.75,2.24
11057,10.00,101653.00,-27.25,2.73
11152,10.00,101658.00,-27.67,2.32
11248,10.00,101656.00,-27.50,2.49
11343,10.10,101672.00,-28.83,1.16
11440,10.10,101665.00,-28.25,1.74
11535,10.10,101662.00,-28.00,1.99
11631,10.10,101661.00,-27.92,2.07
11726,10.10,101665.00,-28.25,1.74
11823,10.10,101674.00,-28.99,1.00
11918,10.10,101676.00,-29.16,0.83
12013,10.10,101667.00,-28.41,1.57
12109,10.10,101675.00,-29.08,0.91
12205,10.10,101668.00,-28.49,1.49
12301,10.10,101666.00,-28.33,1.66
12396,10.10,101663.00,-28.08,1.91
12492,10.10,101673.00,-28.91,1.08
12588,10.10,101670.00,-28.66,1.33
12683,10.10,101668.00,-28.49,1.49
12779,10.10,101670.00,-28.66,1.33
12874,10.10,101666.00,-28.33,1.66
12971,10.10,101662.00,-28.00,1.99
13066,10.10,101673.00,-28.91,1.08
13162,10.10,101672.00,-28.83,1.16
13257,10.10,101669.00,-28.58,1.41
13353,10.20,101679.00,-29.41,0.58
13449,10.10,101672.00,-28.83,1.16
13544,10.20,101682.00,-29.66,0.33
13640,10.20,101673.00,-28.91,1.08
13735,10.20,101677.00,-29.24,0.75
13832,10.20,101677.00,-29.24,0.75
13927,10.20,101673.00,-28.91,1.08
14023,10.20,101679.00,-29.41,0.58
14118,10.20,101677.00,-29.24,0.75
14214,10.20,101678.00,-29.32,0.66
14310,10.20,101679.00,-29.41,0.58
14405,10.20,101663.00,-28.08,1.91
14501,10.20,101666.00,-28.33,1.66
14597,10.20,101676.00,-29.16,0.83
14693,10.20,101668.00,-28.49,1.49
14788,10.20,101672.00,-28.83,1.16
14884,10.20,101674.00,-28.99,1.00
14980,10.20,101674.00,-28.99,1.00
15075,10.20,101661.00,-27.92,2.07
15171,10.20,101662.00,-28.00,1.99
15266,10.20,101657.00,-27.58,2.40
15363,10.20,101667.00,-28.41,1.57
15458,10.20,101673.00,-28.91,1.08
15554,10.20,101665.00,-28.25,1.74
15649,10.20,101662.00,-28.00,1.99
15745,10.20,101664.00,-28.16,1.82
15841,10.20,101670.00,-28.66,1.33
15936,10.20,101672.00,-28.83,1.16
16032,10.20,101668.00,-28.49,1.49
16128,10.20,101661.00,-27.92,2.07
16224,10.20,101663.00,-28.08,1.91
16319,10.20,101666.00,-28.33,1.66
16415,10.20,101659.00,-27.75,2.24
16510,10.20,101675.00,-29.08,0.91
16606,10.20,101670.00,-28.66,1.33
16702,10.20,101673.00,-28.91,1.08
16797,10.30,101677.00,-29.24,0.75
16893,10.20,101679.00,-29.41,0.58
16989,10.20,101678.00,-29.32,0.66
17085,10.30,101682.00,-29.66,0.33
17180,10.20,101680.00,-29.49,0.50
17275,10.20,101683.00,-29.74,0.25
17372,10.30,101680.00,-29.49,0.50
17467,10.30,101681.00,-29.57,0.41
17563,10.30,101684.00,-29.82,0.17
17658,10.30,101676.00,-29.16,0.83
17755,10.30,101670.00,-28.66,1.33
17850,10.20,101657.00,-27.58,2.40
17946,10.20,101646.00,-26.67,3.32
18041,10.20,101650.00,-27.00,2.99
18137,10.20,101651.00,-27.09,2.90
18233,10.20,101658.00,-27.67,2.32
18328,10.20,101648.00,-26.84,3.15
18424,10.20,101660.00,-27.83,2.16
18520,10.20,101654.00,-27.33,2.65
18616,10.20,101662.00,-28.00,1.99
18711,10.20,101664.00,-28.16,1.82
18806,10.20,101670.00,-28.66,1.33
18903,10.30,101668.00,-28.49,1.49
18998,10.30,101668.00,-28.49,1.49
19094,10.20,101663.00,-28.08,1.91
19189,10.20,101664.00,-28.16,1.82
19286,10.30,101669.00,-28.58,1.41
19381,10.30,101669.00,-28.58,1.41
19477,10.30,101663.00,-28.08,1.91
19572,10.30,101663.00,-28.08,1.91
19667,10.30,101663.00,-28.08,1.91
19764,10.30,101664.00,-28.16,1.82
19859,10.20,101668.00,-28.49,1.49
19955,10.30,101666.00,-28.33,1.66
20050,10.30,101667.00,-28.41,1.57
20147,10.30,101659.00,-27.75,2.24
20242,10.30,101670.00,-28.66,1.33
20337,10.30,101672.00,-28.83,1.16
20433,10.30,101668.00,-28.49,1.49
20529,10.30,101673.00,-28.91,1.08
20625,10.30,101673.00,-28.91,1.08
20720,10.30,101668.00,-28.49,1.49
20816,10.30,101654.00,-27.33,2.65
20912,10.30,101668.00,-28.49,1.49
21008,10.30,101663.00,-28.08,1.91
21103,10.30,101666.00,-28.33,1.66
21198,10.30,101658.00,-27.67,2.32
21295,10.20,101652.00,-27.17,2.82
21390,10.20,101648.00,-26.84,3.15
21486,10.20,101644.00,-26.51,3.48
21581,10.20,101653.00,-27.25,2.73
21678,10.20,101642.00,-26.34,3.65
21773,10.20,101656.00,-27.50,2.49
21868,10.20,101657.00,-27.58,2.40
21964,10.20,101655.00,-27.42,2.57
22060,10.30,101657.00,-27.58,2.40
22156,10.30,101654.00,-27.33,2.65
22251,10.30,101658.00,-27.67,2.32
22347,10.30,101666.00,-28.33,1.66
22443,10.30,101659.00,-27.75,2.24
22539,10.30,101663.00,-28.08,1.91
22634,10.30,101666.00,-28.33,1.66
22729,10.30,101662.00,-28.00,1.99
22825,10.30,101659.00,-27.75,2.24
22925,10.30,101672.00,-28.83,1.16
23021,10.40,101664.00,-28.16,1.82
23121,10.30,101654.00,-27.33,2.65
23218,10.30,101669.00,-28.58,1.41
23318,10.30,101669.00,-28.58,1.41
23413,10.30,101665.00,-28.25,1.74
23514,10.30,101661.00,-27.92,2.07
23610,10.30,101659.00,-27.75,2.24
23710,10.30,101670.00,-28.66,1.33
23806,10.30,101669.00,-28.58,1.41
23907,10.30,101669.00,-28.58,1.41
24002,10.30,101668.00,-28.49,1.49
24103,10.30,101665.00,-28.25,1.74
24199,10.30,101664.00,-28.16,1.82
24295,10.30,101666.00,-28.33,1.66
24390,10.30,101671.00,-28.74,1.24
24489,10.30,101665.00,-28.25,1.74
24586,10.30,101665.00,-28.25,1.74
24685,10.30,101667.00,-28.41,1.57
24780,10.30,101665.00,-28.25,1.74
24882,10.30,101662.00,-28.00,1.99
24977,10.30,101656.00,-27.50,2.49
25076,10.40,101678.00,-29.32,0.66
25172,10.40,101674.00,-28.99,1.00
25272,10.40,101674.00,-28.99,1.00
25367,10.30,101662.00,-28.00,1.99
25463,10.20,101642.00,-26.34,3.65
25559,10.30,101652.00,-27.17,2.82
25655,10.30,101653.00,-27.25,2.73
25755,10.30,101648.00,-26.84,3.15
25851,10.40,101667.00,-28.41,1.57
25952,10.40,101668.00,-28.49,1.49
26047,10.40,101678.00,-29.32,0.66
26148,10.40,101667.00,-28.41,1.57
26244,10.40,101680.00,-29.49,0.50
26345,10.40,101673.00,-28.91,1.08
26440,10.40,101679.00,-29.41,0.58
26535,10.40,101667.00,-28.41,1.57
26637,10.40,101665.00,-28.25,1.74
26737,10.30,101650.00,-27.00,2.99
26833,10.40,101663.00,-28.08,1.91
26934,10.40,101668.00,-28.49,1.49
27030,10.40,101676.00,-29.16,0.83
27125,10.40,101676.00,-29.16,0.83
27222,10.40,101682.00,-29.66,0.33
27321,10.40,101676.00,-29.16,0.83
27416,10.40,101674.00,-28.99,1.00
27512,10.40,101682.00,-29.66,0.33
27608,10.40,101680.00,-29.49,0.50
27705,10.40,101691.00,-30.40,-0.41
27801,10.40,101687.00,-30.07,-0.08
27898,10.50,101687.00,-30.07,-0.08
27994,10.50,101685.00,-29.91,0.08
28092,10.40,101686.00,-29.99,0.00
28189,10.50,101689.00,-30.24,-0.25
28285,10.50,101691.00,-30.40,-0.41
28383,10.50,101690.00,-30.32,-0.33
28478,10.50,101682.00,-29.66,0.33
28574,10.40,101683.00,-29.74,0.25
28669,10.40,101684.00,-29.82,0.17
28767,10.50,101688.00,-30.15,-0.17
28862,10.50,101685.00,-29.91,0.08
28957,10.50,101686.00,-29.99,0.00
29060,10.50,101688.00,-30.15,-0.17
29156,10.50,101694.00,-30.65,-0.66
29253,10.50,101694.00,-30.65,-0.66
29348,10.50,101685.00,-29.91,0.08
29445,10.50,101685.00,-29.91,0.08
29541,10.50,101688.00,-30.15,-0.17
29637,10.40,101681.00,-29.57,0.41
29733,10.50,101692.00,-30.48,-0.50
29830,10.30,101629.00,-25.26,4.73
29925,10.30,101644.00,-26.51,3.48
30020,10.30,101640.00,-26.17,3.81
30116,10.30,101641.00,-26.26,3.73
30212,10.30,101636.00,-25.84,4.15
30308,10.30,101626.00,-25.01,4.98
30403,10.30,101622.00,-24.68,5.31
30502,10.20,101609.00,-23.60,6.39
30598,10.20,101615.00,-24.10,5.89
30694,10.20,101616.00,-24.18,5.81
30789,10.20,101617.00,-24.27,5.72
30884,10.20,101618.00,-24.35,5.64
30981,10.20,101604.00,-23.19,6.80
31076,10.20,101609.00,-23.60,6.39
31172,10.30,101619.00,-24.43,5.56
31267,10.20,101613.00,-23.93,6.05
31364,10.20,101601.00,-22.94,7.05
31459,10.20,101607.00,-23.44,6.55
31554,10.30,101625.00,-24.93,5.06
31650,10.20,101593.00,-22.27,7.71
31746,10.20,101577.00,-20.95,9.04
31842,10.10,101578.00,-21.03,8.96
31937,10.20,101580.00,-21.20,8.79
32033,10.40,101641.00,-26.26,3.73
32129,10.40,101656.00,-27.50,2.49
32225,10.50,101664.00,-28.16,1.82
32320,10.50,101659.00,-27.75,2.24
32415,10.50,101663.00,-28.08,1.91
32512,10.50,101668.00,-28.49,1.49
32612,10.50,101667.00,-28.41,1.57
32708,10.50,101660.00,-27.83,2.16
32803,10.50,101667.00,-28.41,1.57
32900,10.50,101666.00,-28.33,1.66
32995,10.50,101670.00,-28.66,1.33
33091,10.50,101666.00,-28.33,1.66
33186,10.50,101653.00,-27.25,2.73
33283,10.50,101650.00,-27.00,2.99
33378,10.50,101663.00,-28.08,1.91
33473,10.50,101652.00,-27.17,2.82
33569,10.50,101656.00,-27.50,2.49
33665,10.50,101652.00,-27.17,2.82
33761,10.50,101654.00,-27.33,2.65
33856,10.50,101652.00,-27.17,2.82
33952,10.50,101657.00,-27.58,2.40
34048,10.50,101650.00,-27.00,2.99
34143,10.50,101661.00,-27.92,2.07
34239,10.50,101656.00,-27.50,2.49
34334,10.50,101657.00,-27.58,2.40
34430,10.50,101651.00,-27.09,2.90
34526,10.50,101657.00,-27.58,2.40
34622,10.60,101685.00,-29.91,0.08
34718,10.60,101687.00,-30.07,-0.08
34814,10.60,101685.00,-29.91,0.08
34911,10.60,101690.00,-30.32,-0.33
35007,10.60,101687.00,-30.07,-0.08
35103,10.60,101686.00,-29.99,0.00
35200,10.60,101689.00,-30.24,-0.25
35297,10.60,101689.00,-30.24,-0.25
35392,10.60,101683.00,-29.74,0.25
35489,10.60,101692.00,-30.48,-0.50
35586,10.60,101692.00,-30.48,-0.50
35683,10.60,101692.00,-30.48,-0.50
35779,10.60,101689.00,-30.24,-0.25
35875,10.60,101690.00,-30.32,-0.33
35973,10.60,101688.00,-30.15,-0.17
36068,10.60,101685.00,-29.91,0.08
36164,10.60,101684.00,-29.82,0.17
36259,10.60,101682.00,-29.66,0.33
36356,10.60,101678.00,-29.32,0.66
36451,10.60,101674.00,-28.99,1.00
36547,10.60,101685.00,-29.91,0.08
36643,10.60,101688.00,-30.15,-0.17
36739,10.60,101685.00,-29.91,0.08
36836,10.60,101688.00,-30.15,-0.17
36932,10.60,101689.00,-30.24,-0.25
37029,10.70,101691.00,-30.40,-0.41
37126,10.60,101691.00,-30.40,-0.41
37223,10.60,101690.00,-30.32,-0.33
37319,10.70,101687.00,-30.07,-0.08
37416,10.60,101688.00,-30.15,-0.17
37512,10.60,101684.00,-29.82,0.17
37609,10.70,101691.00,-30.40,-0.41
37705,10.70,101700.00,-31.15,-1.16
37801,10.70,101690.00,-30.32,-0.33
37899,10.70,101693.00,-30.57,-0.58
37995,10.70,101693.00,-30.57,-0.58
38092,10.70,101689.00,-30.24,-0.25
38188,10.70,101686.00,-29.99,0.00
38284,10.60,101684.00,-29.82,0.17
38379,10.70,101682.00,-29.66,0.33
38475,10.70,101682.00,-29.66,0.33
38572,10.70,101691.00,-30.40,-0.41
38668,10.70,101688.00,-30.15,-0.17
38765,10.70,101690.00,-30.32,-0.33
38861,10.70,101688.00,-30.15,-0.17
38959,10.70,101690.00,-30.32,-0.33
39054,10.70,101682.00,-29.66,0.33
39150,10.60,101682.00,-29.66,0.33
39245,10.70,101683.00,-29.74,0.25
39342,10.70,101682.00,-29.66,0.33
39437,10.70,101682.00,-29.66,0.33
39532,10.70,101682.00,-29.66,0.33
39628,10.70,101684.00,-29.82,0.17
39724,10.70,101683.00,-29.74,0.25
39820,10.60,101678.00,-29.32,0.66
39915,10.60,101672.00,-28.83,1.16
40011,10.60,101671.00,-28.74,1.24
40107,10.60,101680.00,-29.49,0.50
40202,10.70,101684.00,-29.82,0.17
40299,10.70,101689.00,-30.24,-0.25
40395,10.70,101692.00,-30.48,-0.50
40493,10.70,101692.00,-30.48,-0.50
40589,10.70,101689.00,-30.24,-0.25
40686,10.70,101688.00,-30.15,-0.17
40781,10.70,101685.00,-29.91,0.08
40878,10.70,101682.00,-29.66,0.33
40974,10.70,101687.00,-30.07,-0.08
41071,10.70,101694.00,-30.65,-0.66
41167,10.70,101696.00,-30.82,-0.83
41264,10.70,101690.00,-30.32,-0.33
41361,10.70,101690.00,-30.32,-0.33
41456,10.70,101685.00,-29.91,0.08
41552,10.70,101677.00,-29.24,0.75
41648,10.60,101656.00,-27.50,2.49
41744,10.60,101660.00,-27.83,2.16
41839,10.60,101657.00,-27.58,2.40
41935,10.60,101653.00,-27.25,2.73
42031,10.60,101661.00,-27.92,2.07
42126,10.60,101651.00,-27.09,2.90
42222,10.60,101644.00,-26.51,3.48
42317,10.60,101647.00,-26.75,3.23
42414,10.60,101647.00,-26.75,3.23
42509,10.60,101642.00,-26.34,3.65
42605,10.50,101636.00,-25.84,4.15
42700,10.50,101642.00,-26.34,3.65
42796,10.50,101639.00,-26.09,3.90
42892,10.60,101636.00,-25.84,4.15
42987,10.50,101639.00,-26.09,3.90
43083,10.50,101633.00,-25.59,4.39
43179,10.50,101628.00,-25.18,4.81
43275,10.50,101608.00,-23.52,6.47
43370,10.50,101608.00,-23.52,6.47
43466,10.50,101620.00,-24.52,5.47
43561,10.50,101631.00,-25.43,4.56
43657,10.60,101634.00,-25.68,4.31
43753,10.60,101649.00,-26.92,3.07
43848,10.70,101661.00,-27.92,2.07
43950,10.70,101660.00,-27.83,2.16
44046,10.70,101664.00,-28.16,1.82
44141,10.70,101679.00,-29.41,0.58
44243,10.70,101681.00,-29.57,0.41
44340,10.70,101678.00,-29.32,0.66
44435,10.70,101675.00,-29.08,0.91
44531,10.70,101682.00,-29.66,0.33
44633,10.70,101683.00,-29.74,0.25
44728,10.70,101683.00,-29.74,0.25
44829,10.70,101678.00,-29.32,0.66
44925,10.70,101669.00,-28.58,1.41
45021,10.70,101663.00,-28.08,1.91
45117,10.70,101672.00,-28.83,1.16
45212,10.70,101682.00,-29.66,0.33
45308,10.80,101682.00,-29.66,0.33
45404,10.70,101674.00,-28.99,1.00
45499,10.70,101671.00,-28.74,1.24
45595,10.70,101660.00,-27.83,2.16
45690,10.70,101665.00,-28.25,1.74
45787,10.70,101663.00,-28.08,1.91
45882,10.70,101664.00,-28.16,1.82
45978,10.70,101667.00,-28.41,1.57
46073,10.70,101669.00,-28.58,1.41
46169,10.80,101671.00,-28.74,1.24
46265,10.80,101672.00,-28.83,1.16
46360,10.80,101672.00,-28.83,1.16
46456,10.80,101669.00,-28.58,1.41
46552,10.70,101663.00,-28.08,1.91
46648,10.80,101672.00,-28.83,1.16
46743,10.70,101667.00,-28.41,1.57
46839,10.70,101648.00,-26.84,3.15
46935,10.70,101655.00,-27.42,2.57
47030,10.80,101667.00,-28.41,1.57
47126,10.80,101670.00,-28.66,1.33
47224,10.80,101672.00,-28.83,1.16
47321,10.80,101676.00,-29.16,0.83
47420,10.80,101669.00,-28.58,1.41
47515,10.80,101668.00,-28.49,1.49
47614,10.80,101673.00,-28.91,1.08
47710,10.80,101667.00,-28.41,1.57
47809,10.80,101663.00,-28.08,1.91
47905,10.80,101659.00,-27.75,2.24
48005,10.80,101663.00,-28.08,1.91
48100,10.80,101665.00,-28.25,1.74
48200,10.80,101668.00,-28.49,1.49
48302,10.80,101678.00,-29.32,0.66
48398,10.80,101687.00,-30.07,-0.08
48498,10.80,101682.00,-29.66,0.33
48594,10.90,101678.00,-29.32,0.66
48695,10.80,101675.00,-29.08,0.91
48790,10.80,101682.00,-29.66,0.33
48891,10.80,101682.00,-29.66,0.33
48987,10.80,101677.00,-29.24,0.75
49088,10.70,101653.00,-27.25,2.73
49183,10.70,101644.00,-26.51,3.48
49284,10.70,101659.00,-27.75,2.24
49380,10.80,101661.00,-27.92,2.07
49475,10.80,101672.00,-28.83,1.16
49571,10.90,101681.00,-29.57,0.41
49667,10.90,101686.00,-29.99,0.00
49763,10.90,101681.00,-29.57,0.41
49863,10.90,101690.00,-30.32,-0.33
49959,10.90,101688.00,-30.15,-0.17
50060,10.90,101682.00,-29.66,0.33
50156,10.90,101689.00,-30.24,-0.25
50258,10.90,101689.00,-30.24,-0.25
50354,10.90,101682.00,-29.66,0.33
50453,10.90,101679.00,-29.41,0.58
50549,10.90,101685.00,-29.91,0.08
50650,10.90,101684.00,-29.82,0.17
50747,10.90,101687.00,-30.07,-0.08
50847,10.90,101687.00,-30.07,-0.08
50944,10.90,101691.00,-30.40,-0.41
51040,10.90,101686.00,-29.99,0.00
51141,10.90,101687.00,-30.07,-0.08
51238,10.90,101688.00,-30.15,-0.17
51334,10.90,101685.00,-29.91,0.08
51430,10.90,101682.00,-29.66,0.33
51526,10.90,101690.00,-30.32,-0.33
51628,10.90,101682.00,-29.66,0.33
51728,10.90,101680.00,-29.49,0.50
51824,10.90,101682.00,-29.66,0.33
51919,10.90,101682.00,-29.66,0.33
52021,10.90,101692.00,-30.48,-0.50
52117,10.90,101682.00,-29.66,0.33
52213,10.90,101688.00,-30.15,-0.17
52311,10.90,101689.00,-30.24,-0.25
52406,10.90,101682.00,-29.66,0.33
52506,10.90,101682.00,-29.66,0.33
52601,10.90,101682.00,-29.66,0.33
52698,10.90,101676.00,-29.16,0.83
52793,10.90,101679.00,-29.41,0.58
52889,10.90,101679.00,-29.41,0.58
52984,10.90,101676.00,-29.16,0.83
53080,10.90,101679.00,-29.41,0.58
53176,10.90,101678.00,-29.32,0.66
53271,10.90,101676.00,-29.16,0.83
53367,10.90,101673.00,-28.91,1.08
53463,10.90,101674.00,-28.99,1.00
53559,10.90,101671.00,-28.74,1.24
53654,10.90,101674.00,-28.99,1.00
53750,10.90,101671.00,-28.74,1.24
53847,10.90,101687.00,-30.07,-0.08
53942,10.90,101682.00,-29.66,0.33
54038,10.90,101674.00,-28.99,1.00
54133,10.90,101677.00,-29.24,0.75
54230,11.00,101685.00,-29.91,0.08
54330,11.00,101694.00,-30.65,-0.66
54427,11.00,101689.00,-30.24,-0.25
54526,11.00,101686.00,-29.99,0.00
54624,11.00,101691.00,-30.40,-0.41
54725,11.00,101692.00,-30.48,-0.50
54822,10.90,101688.00,-30.15,-0.17
54918,11.00,101685.00,-29.91,0.08
55020,11.00,101694.00,-30.65,-0.66
55116,11.00,101696.00,-30.82,-0.83
55214,11.00,101694.00,-30.65,-0.66
55310,11.00,101692.00,-30.48,-0.50
55407,11.00,101697.00,-30.90,-0.91
55503,11.00,101695.00,-30.73,-0.75
55601,11.00,101698.00,-30.98,-0.99
55697,11.00,101698.00,-30.98,-0.99
55793,11.00,101695.00,-30.73,-0.75
55890,11.00,101689.00,-30.24,-0.25
55987,11.00,101691.00,-30.40,-0.41
56084,11.00,101690.00,-30.32,-0.33
56180,11.00,101689.00,-30.24,-0.25
56278,11.00,101695.00,-30.73,-0.75
56374,11.00,101689.00,-30.24,-0.25
56471,11.00,101688.00,-30.15,-0.17
56566,11.00,101685.00,-29.91,0.08
56663,11.00,101684.00,-29.82,0.17
56759,11.00,101689.00,-30.24,-0.25
56855,11.00,101690.00,-30.32,-0.33
56952,11.00,101687.00,-30.07,-0.08
57049,11.00,101692.00,-30.48,-0.50
57146,11.00,101689.00,-30.24,-0.25
57242,11.00,101689.00,-30.24,-0.25
57339,11.00,101687.00,-30.07,-0.08
57436,11.00,101690.00,-30.32,-0.33
57533,11.00,101693.00,-30.57,-0.58
57629,11.00,101688.00,-30.15,-0.17
57726,11.00,101690.00,-30.32,-0.33
57822,11.00,101681.00,-29.57,0.41
57918,11.00,101693.00,-30.57,-0.58
58015,11.00,101690.00,-30.32,-0.33
58110,11.00,101683.00,-29.74,0.25
58208,11.00,101690.00,-30.32,-0.33
58303,11.00,101686.00,-29.99,0.00
58399,11.00,101683.00,-29.74,0.25
58496,11.00,101687.00,-30.07,-0.08
58593,11.00,101694.00,-30.65,-0.66
58688,11.00,101685.00,-29.91,0.08
58784,11.00,101689.00,-30.24,-0.25
58882,11.00,101692.00,-30.48,-0.50
58978,11.00,101688.00,-30.15,-0.17
59075,11.00,101695.00,-30.73,-0.75
59171,11.00,101689.00,-30.24,-0.25
59269,11.00,101693.00,-30.57,-0.58
59365,11.00,101688.00,-30.15,-0.17
59462,11.00,101691.00,-30.40,-0.41
59557,11.00,101686.00,-29.99,0.00
59653,11.00,101682.00,-29.66,0.33
59749,11.00,101685.00,-29.91,0.08
59845,11.00,101689.00,-30.24,-0.25
59942,11.00,101701.00,-31.23,-1.24
60039,11.00,101698.00,-30.98,-0.99
60136,11.00,101697.00,-30.90,-0.91
60232,11.00,101692.00,-30.48,-0.50
60329,11.00,101699.00,-31.07,-1.08
60426,11.00,101697.00,-30.90,-0.91
60523,11.00,101690.00,-30.32,-0.33
60619,11.00,101696.00,-30.82,-0.83
60715,11.00,101686.00,-29.99,0.00
60812,11.00,101695.00,-30.73,-0.75
60908,11.00,101692.00,-30.48,-0.50
61005,11.00,101692.00,-30.48,-0.50
61102,11.00,101692.00,-30.48,-0.50
61199,11.00,101693.00,-30.57,-0.58
61295,11.00,101687.00,-30.07,-0.08
61392,11.10,101690.00,-30.32,-0.33
61489,11.00,101690.00,-30.32,-0.33
61585,11.00,101692.00,-30.48,-0.50
61682,11.00,101692.00,-30.48,-0.50
61777,11.00,101686.00,-29.99,0.00
61874,11.00,101681.00,-29.57,0.41
61969,11.00,101683.00,-29.74,0.25
62065,11.00,101680.00,-29.49,0.50
62160,11.00,101678.00,-29.32,0.66
62257,11.00,101682.00,-29.66,0.33
62352,11.00,101681.00,-29.57,0.41
62448,11.00,101687.00,-30.07,-0.08
62544,11.00,101678.00,-29.32,0.66
62640,11.00,101686.00,-29.99,0.00
62736,11.00,101683.00,-29.74,0.25
62831,11.00,101684.00,-29.82,0.17
62927,11.00,101671.00,-28.74,1.24
63023,11.00,101675.00,-29.08,0.91
63119,11.00,101669.00,-28.58,1.41
63214,11.00,101670.00,-28.66,1.33
